"tree_node_id";"period_id";"state_id";"effect_id";"currency_id";"financials_decumulated_amount";"financials_cumulated_amount";"financials_base_currency_flag";"financials_level_aggregation";"snapshot_date"
"98bdb509e11844ab8e95a8b5e4ea4b01";"20201130";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;246;246;true;;"2021-02-18 23:59:59"
"98bdb509e11844ab8e95a8b5e4ea4b01";"2020";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;643;643;true;;"2021-02-18 23:59:59"
"98bdb509e11844ab8e95a8b5e4ea4b01";"2021";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;613;613;true;;"2021-02-18 23:59:59"
"98bdb509e11844ab8e95a8b5e4ea4b01";"9999";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;1256;1256;true;;"2021-02-18 23:59:59"
"98f7707688c742c2a69846ea52a24626";"20210131";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;147;147;true;;"2021-02-18 23:59:59"
"98f7707688c742c2a69846ea52a24626";"20201231";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;122;122;true;;"2021-02-18 23:59:59"
"98f7707688c742c2a69846ea52a24626";"20201130";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;90;90;true;;"2021-02-18 23:59:59"
"98f7707688c742c2a69846ea52a24626";"2020";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;212;212;true;;"2021-02-18 23:59:59"
"98f7707688c742c2a69846ea52a24626";"2021";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;147;147;true;;"2021-02-18 23:59:59"
"98f7707688c742c2a69846ea52a24626";"9999";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;359;359;true;;"2021-02-18 23:59:59"
c2678f2a5dbb4e6bba289a1dac117197;"20201130";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;87;87;true;;"2021-02-18 23:59:59"
c2678f2a5dbb4e6bba289a1dac117197;"20201231";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;109;109;true;;"2021-02-18 23:59:59"
c2678f2a5dbb4e6bba289a1dac117197;"20210131";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;127;127;true;;"2021-02-18 23:59:59"
c2678f2a5dbb4e6bba289a1dac117197;"2020";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;196;196;true;;"2021-02-18 23:59:59"
c2678f2a5dbb4e6bba289a1dac117197;"2021";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;127;127;true;;"2021-02-18 23:59:59"
c2678f2a5dbb4e6bba289a1dac117197;"9999";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;323;323;true;;"2021-02-18 23:59:59"
c3bdb3233be043df8a2cfa9d7a8f4c1a;"20210131";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;102;102;true;;"2021-02-18 23:59:59"
c3bdb3233be043df8a2cfa9d7a8f4c1a;"20201231";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;87;87;true;;"2021-02-18 23:59:59"
c3bdb3233be043df8a2cfa9d7a8f4c1a;"20201130";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;66;66;true;;"2021-02-18 23:59:59"
c3bdb3233be043df8a2cfa9d7a8f4c1a;"2020";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;153;153;true;;"2021-02-18 23:59:59"
c3bdb3233be043df8a2cfa9d7a8f4c1a;"2021";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;102;102;true;;"2021-02-18 23:59:59"
c3bdb3233be043df8a2cfa9d7a8f4c1a;"9999";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;255;255;true;;"2021-02-18 23:59:59"
b3a1ae86336244e692121373ba2240b7;"20210131";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;266;266;true;;"2021-02-18 23:59:59"
b3a1ae86336244e692121373ba2240b7;"20201231";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;261;261;true;;"2021-02-18 23:59:59"
b3a1ae86336244e692121373ba2240b7;"20201130";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;212;212;true;;"2021-02-18 23:59:59"
